Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W),Detectivity (Jones)
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0265,0.98577,1.15E+10
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0135,0.40038,3.45E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,1.7163,0.02986,2.59E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,4.1387,0.03478,1.98E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,6.6273,0.02358,1.62E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,8.9387,3.64E-02,1.10E+09
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,1.20E-03,1.20E-02,66094170404
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,2.54E-03,1.15E-02,62721973094
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,4.99E-03,1.04E-02,57058295964
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,8.07E-03,9.57E-03,51972346786
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,1.10E-02,9.13E-03,49585201794
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0075,0.005,1.84E+11
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0048,0.0015,54805574179
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0001,0.0007,24243367494
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0067,0.0005,12601762283
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.013,0.0004,9781151231
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.019,0.0003,7664495738
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0076,0.0145,2.58E+13
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0048,0.0021,3.24E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.000026,0.0061,2.89E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0063,0.0078,5.12E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0126,0.0085,6.52E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0184,0.0091,7.12E+12
